suite,status,metric,value,unit,passed,details
ais31-p1-t0,passed,ais31_outcomes_passed,1,count,True,"{""outcome_count"": 1, ""failed_tests"": []}"
ais31-p1-t0,passed,ais31_consumed_bytes,393216,bytes,,"{""required_bits"": 3145728, ""untested_remainder_bytes"": 659616}"
ais31-p1-t0,passed,T0,True,outcome,True,"{""message"": ""Test T0 bestanden."", ""measurements"": []}"
ais31-p1-t1-t5,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p1-t1-t5,passed,ais31_consumed_bytes,652500,bytes,,"{""required_bits"": 5220000, ""untested_remainder_bytes"": 400332}"
ais31-p1-t1-t5,passed,T1,True,outcome,True,"{""message"": ""Test T1 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 19847}"
ais31-p1-t1-t5,passed,T2,True,outcome,True,"{""message"": ""Test T2 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 13188}"
ais31-p1-t1-t5,passed,T3,True,outcome,True,"{""message"": ""Test T3 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 202459}"
ais31-p1-t1-t5,passed,T4,True,outcome,True,"{""message"": ""Test T4 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 3541}"
ais31-p1-t1-t5,passed,T5,True,outcome,True,"{""message"": ""Test T5 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 30683}"
ais31-p2,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p2,passed,ais31_consumed_bytes,900000,bytes,,"{""required_bits"": 7200000, ""untested_remainder_bytes"": 152832}"
ais31-p2,passed,T6a,True,outcome,True,"{""message"": ""Testprozedur T6a bestanden."", ""measurements"": [{""abs_p1_minus_0_5"": 0.0014199999999999768, ""last_element"": 100000}]}"
ais31-p2,passed,T6b,True,outcome,True,"{""message"": ""Testprozedur T6b bestanden."", ""measurements"": [{""p_01"": 0.50361, ""p_11"": 0.4987, ""abs_p_01_minus_p_11"": 0.0049100000000000255, ""last_element"": 500648}]}"
ais31-p2,passed,T7a,True,outcome,True,"{""message"": ""Testprozedur T7a bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 1.1139205774564274}, {""index"": 1, ""value"": 0.6993801679211784}], ""last_element"": 1705952}]}"
ais31-p2,passed,T7b,True,outcome,True,"{""message"": ""Testprozedur T7b bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 0.13122021164507935}, {""index"": 1, ""value"": 0.7220045125282033}, {""index"": 2, ""value"": 3.1047209736404975}, {""index"": 3, ""value"": 0.030420455604121537}], ""last_element"": 4922968}]}"
ais31-p2,passed,T8,True,outcome,True,"{""message"": ""Test T8 bestanden."", ""measurements"": [{""test_statistic"": 8.001381915434996, ""last_element"": 6991448}]}"
ent,passed,entropy,7.999809,bits_per_byte,,{}
ent,passed,file_bytes,1052832,bytes,,{}
ent,passed,optimum_compression_reduction,0.0,percent,,{}
ent,passed,chi_square_samples,1052832,samples,,{}
ent,passed,chi_square,278.37,,True,{}
ent,passed,chi_square_exceed_percent,15.05,percent,True,"{""qualifier"": """", ""level"": ""passed""}"
ent,passed,arithmetic_mean,127.5861,,,{}
ent,passed,monte_carlo_pi,3.136842345,,,{}
ent,passed,monte_carlo_pi_error,0.15,percent,,{}
ent,passed,serial_correlation,-0.000358,,,{}
entropy-iid,error,,,,,"{""error"": ""Error: '/workspaces/TFG_QeeaS/data/randlab/default_source_trng_quick/raw/entropy-iid/entropy_source_trng.1m.bin' is empty\nError reading file.\nUsage is: ea_iid [-i|-c] [-a|-t] [-v] [-q] [-l <index>,<samples> ] <file_name> [bits_per_symbol]\n\n\t <file_name>: Must be relative path to a binary file with at least 1 million entries (samples).\n\t [bits_per_symbol]: Must be between 1-8, inclusive. By default this value is inferred from the data.\n\t [-i|-c]: '-i' for initial entropy estimate, '-c' for conditioned sequential dataset entropy estimate. The initial entropy estimate is the default.\n\t [-a|-t]: '-a' produces the 'H_bitstring' assessment using all read bits, '-t' truncates the bitstring used to produce the `H_bitstring` assessment to 1000000 bits. Test all data by default.\n\t Note: When testing binary data, no `H_bitstring` assessment is produced, so the `-a` and `-t` options produce the same results for the initial assessment of binary data.\n\t -v: Optional verbosity flag for more output. Can be used multiple times.\n\t -q: Quiet mode, less output to screen. This will override any verbose flags.\n\t -l <index>,<samples>\tRead the <index> substring of length <samples>.\n\n\t Samples are assumed to be packed into 8-bit values, where the least significant 'bits_per_symbol'\n\t bits constitute the symbol.\n\n\t -i: Initial Entropy Estimate (Section 3.1.3)\n\n\t\t Computes the initial entropy estimate H_I as described in Section 3.1.3\n\t\t (not accounting for H_submitter) using the entropy estimators specified in\n\t\t Section 6.3.  If 'bits_per_symbol' is greater than 1, the samples are also\n\t\t converted to bitstrings and assessed to create H_bitstring; for multi-bit symbols,\n\t\t two entropy estimates are computed: H_original and H_bitstring.\n\t\t Returns min(H_original, bits_per_symbol X H_bitstring). The initial entropy\n\t\t estimate H_I = min(H_submitter, H_original, bits_per_symbol X H_bitstring).\n\n\t -c: Conditioned Sequential Dataset Entropy Estimate (Section 3.1.5.2)\n\n\t\t Computes the entropy estimate per bit h' for the conditioned sequential dataset if the\n\t\t conditioning function is non-vetted. The samples are converted to a bitstring.\n\t\t Returns h' = min(H_bitstring).\n\n\t -o: Set Output Type to JSON\n\n\t\t Changes the output format to JSON and sets the file location for the output file.\n\n\t --version: Prints tool version information"", ""warnings"": []}"
