byte_value,count,probability
0,286,0.004231770833333333
1,258,0.003817471590909091
2,274,0.004054214015151515
3,282,0.004172585227272727
4,288,0.004261363636363636
5,259,0.0038322679924242425
6,249,0.0036843039772727275
7,265,0.003921046401515152
8,267,0.003950639204545455
9,252,0.003728693181818182
10,282,0.004172585227272727
11,289,0.004276160037878788
12,266,0.003935842803030303
13,253,0.0037434895833333335
14,267,0.003950639204545455
15,252,0.003728693181818182
16,259,0.0038322679924242425
17,244,0.0036103219696969695
18,264,0.00390625
19,263,0.0038914535984848485
20,267,0.003950639204545455
21,252,0.003728693181818182
22,286,0.004231770833333333
23,276,0.004083806818181818
24,241,0.003565932765151515
25,235,0.003477154356060606
26,303,0.004483309659090909
27,268,0.003965435606060606
28,271,0.004009824810606061
29,258,0.003817471590909091
30,267,0.003950639204545455
31,234,0.0034623579545454545
32,246,0.0036399147727272725
33,240,0.0035511363636363635
34,253,0.0037434895833333335
35,255,0.0037730823863636365
36,265,0.003921046401515152
37,277,0.00409860321969697
38,248,0.003669507575757576
39,262,0.003876657196969697
40,268,0.003965435606060606
41,253,0.0037434895833333335
42,266,0.003935842803030303
43,280,0.004142992424242424
44,243,0.003595525568181818
45,281,0.004157788825757576
46,235,0.003477154356060606
47,256,0.003787878787878788
48,282,0.004172585227272727
49,284,0.00420217803030303
50,276,0.004083806818181818
51,284,0.00420217803030303
52,282,0.004172585227272727
53,249,0.0036843039772727275
54,258,0.003817471590909091
55,249,0.0036843039772727275
56,274,0.004054214015151515
57,249,0.0036843039772727275
58,249,0.0036843039772727275
59,293,0.004335345643939394
60,274,0.004054214015151515
61,271,0.004009824810606061
62,258,0.003817471590909091
63,247,0.003654711174242424
64,278,0.004113399621212121
65,253,0.0037434895833333335
66,262,0.003876657196969697
67,278,0.004113399621212121
68,296,0.004379734848484848
69,247,0.003654711174242424
70,254,0.003758285984848485
71,274,0.004054214015151515
72,258,0.003817471590909091
73,268,0.003965435606060606
74,248,0.003669507575757576
75,264,0.00390625
76,270,0.003995028409090909
77,280,0.004142992424242424
78,232,0.0034327651515151515
79,277,0.00409860321969697
80,258,0.003817471590909091
81,267,0.003950639204545455
82,270,0.003995028409090909
83,274,0.004054214015151515
