byte_value,count,probability
0,1,0.001953125
1,0,0.0
2,2,0.00390625
3,3,0.005859375
4,2,0.00390625
5,3,0.005859375
6,1,0.001953125
7,2,0.00390625
8,2,0.00390625
9,0,0.0
10,0,0.0
11,0,0.0
12,2,0.00390625
13,3,0.005859375
14,2,0.00390625
15,2,0.00390625
16,2,0.00390625
17,0,0.0
18,2,0.00390625
19,0,0.0
20,3,0.005859375
21,1,0.001953125
22,5,0.009765625
23,3,0.005859375
24,2,0.00390625
25,1,0.001953125
26,3,0.005859375
27,2,0.00390625
28,2,0.00390625
29,1,0.001953125
30,1,0.001953125
31,3,0.005859375
32,2,0.00390625
33,2,0.00390625
34,6,0.01171875
35,6,0.01171875
36,2,0.00390625
37,3,0.005859375
38,1,0.001953125
39,3,0.005859375
40,3,0.005859375
41,3,0.005859375
42,4,0.0078125
43,3,0.005859375
44,4,0.0078125
45,1,0.001953125
46,2,0.00390625
47,2,0.00390625
48,1,0.001953125
49,0,0.0
50,2,0.00390625
51,4,0.0078125
52,0,0.0
53,1,0.001953125
54,4,0.0078125
55,2,0.00390625
56,1,0.001953125
57,1,0.001953125
58,3,0.005859375
59,0,0.0
60,1,0.001953125
61,6,0.01171875
62,2,0.00390625
63,1,0.001953125
64,1,0.001953125
65,1,0.001953125
66,2,0.00390625
67,3,0.005859375
68,1,0.001953125
69,1,0.001953125
70,1,0.001953125
71,1,0.001953125
72,0,0.0
73,2,0.00390625
74,4,0.0078125
75,0,0.0
76,1,0.001953125
77,2,0.00390625
78,1,0.001953125
79,4,0.0078125
80,3,0.005859375
81,2,0.00390625
82,2,0.00390625
83,1,0.001953125
84,1,0.001953125
85,1,0.001953125
86,2,0.00390625
87,0,0.0
88,3,0.005859375
89,2,0.00390625
90,0,0.0
91,3,0.005859375
92,3,0.005859375
93,4,0.0078125
94,1,0.001953125
95,2,0.00390625
96,2,0.00390625
97,1,0.001953125
98,2,0.00390625
99,4,0.0078125
100,3,0.005859375
101,4,0.0078125
102,2,0.00390625
103,1,0.001953125
104,3,0.005859375
105,3,0.005859375
106,2,0.00390625
107,2,0.00390625
108,2,0.00390625
109,2,0.00390625
110,3,0.005859375
111,1,0.001953125
112,1,0.001953125
113,3,0.005859375
114,5,0.009765625
115,6,0.01171875
116,0,0.0
117,0,0.0
118,1,0.001953125
119,2,0.00390625
120,3,0.005859375
121,1,0.001953125
122,2,0.00390625
123,0,0.0
124,1,0.001953125
125,4,0.0078125
126,3,0.005859375
127,1,0.001953125
128,3,0.005859375
129,4,0.0078125
130,3,0.005859375
131,5,0.009765625
132,1,0.001953125
133,2,0.00390625
134,2,0.00390625
135,0,0.0
136,2,0.00390625
137,1,0.001953125
138,0,0.0
139,2,0.00390625
140,4,0.0078125
141,4,0.0078125
142,7,0.013671875
143,1,0.001953125
144,4,0.0078125
145,2,0.00390625
146,0,0.0
147,0,0.0
148,1,0.001953125
149,0,0.0
150,0,0.0
151,1,0.001953125
152,1,0.001953125
153,1,0.001953125
154,0,0.0
155,2,0.00390625
156,3,0.005859375
157,2,0.00390625
158,2,0.00390625
159,1,0.001953125
160,1,0.001953125
161,1,0.001953125
162,2,0.00390625
163,0,0.0
164,0,0.0
165,2,0.00390625
166,2,0.00390625
167,2,0.00390625
168,2,0.00390625
169,3,0.005859375
170,2,0.00390625
171,1,0.001953125
172,1,0.001953125
173,2,0.00390625
174,1,0.001953125
175,2,0.00390625
176,3,0.005859375
177,1,0.001953125
178,3,0.005859375
179,2,0.00390625
180,1,0.001953125
181,0,0.0
182,5,0.009765625
183,2,0.00390625
184,3,0.005859375
185,4,0.0078125
186,1,0.001953125
187,2,0.00390625
188,3,0.005859375
189,1,0.001953125
190,1,0.001953125
191,2,0.00390625
192,0,0.0
193,2,0.00390625
194,5,0.009765625
195,4,0.0078125
196,5,0.009765625
197,3,0.005859375
198,1,0.001953125
199,4,0.0078125
200,2,0.00390625
201,2,0.00390625
202,2,0.00390625
203,3,0.005859375
204,1,0.001953125
205,1,0.001953125
206,2,0.00390625
207,2,0.00390625
208,3,0.005859375
209,0,0.0
210,1,0.001953125
211,1,0.001953125
212,2,0.00390625
213,1,0.001953125
214,1,0.001953125
215,3,0.005859375
216,1,0.001953125
217,2,0.00390625
218,2,0.00390625
219,0,0.0
220,2,0.00390625
221,2,0.00390625
222,3,0.005859375
223,4,0.0078125
224,3,0.005859375
225,2,0.00390625
226,4,0.0078125
227,1,0.001953125
228,2,0.00390625
229,3,0.005859375
230,2,0.00390625
231,3,0.005859375
232,2,0.00390625
233,1,0.001953125
234,1,0.001953125
235,4,0.0078125
236,2,0.00390625
237,0,0.0
238,0,0.0
239,4,0.0078125
240,3,0.005859375
241,2,0.00390625
242,1,0.001953125
243,4,0.0078125
244,6,0.01171875
245,0,0.0
246,2,0.00390625
247,2,0.00390625
248,2,0.00390625
249,2,0.00390625
250,2,0.00390625
251,3,0.005859375
252,3,0.005859375
253,1,0.001953125
254,0,0.0
255,2,0.00390625
