byte_value,count,probability
0,4067,0.0038627970944015563
1,4198,0.003987219621907483
2,4177,0.003967274025895083
3,4058,0.003854248981824813
4,4114,0.003907437237857881
5,4191,0.003980571089903349
6,4057,0.0038532991915385083
7,4211,0.003999566895629445
8,4166,0.0039568263327457295
9,4086,0.003880843109841347
10,4114,0.003907437237857881
11,4067,0.0038627970944015563
12,4077,0.003872294997264604
13,4035,0.003832403805239803
14,4163,0.0039539769618868155
15,4116,0.00390933681843049
16,4138,0.003930232204729196
17,4049,0.00384570086924807
18,4079,0.0038741945778372135
19,4011,0.0038096088383684883
20,4175,0.003965374445322473
21,4117,0.0039102866087167955
22,3986,0.0037858640812108687
23,4161,0.003952077381314206
24,4156,0.0039473284298826815
25,4079,0.0038741945778372135
26,4090,0.0038846422709865663
27,4144,0.003935930946447025
28,4193,0.003982470670475959
29,4059,0.003855198772111118
30,4043,0.0038400021275302415
31,4142,0.003934031365874415
32,4116,0.00390933681843049
33,4090,0.0038846422709865663
34,4082,0.003877043948696128
35,4086,0.003880843109841347
36,4048,0.003844751078961765
37,4152,0.003943529268737463
38,4170,0.003960625493890949
39,4168,0.003958725913318339
40,4113,0.003906487447571576
41,4123,0.003915985350434624
42,4113,0.003906487447571576
43,4157,0.003948278220168987
44,4188,0.003977721719044435
45,4083,0.0038779937389824327
46,4195,0.003984370251048568
47,4066,0.0038618473041152515
48,4189,0.0039786715093307395
49,4087,0.003881792900127652
50,3997,0.0037963117743602215
51,4117,0.0039102866087167955
52,4141,0.00393308157558811
53,4118,0.0039112363990031
54,4079,0.0038741945778372135
55,4189,0.0039786715093307395
56,4104,0.003897939334994833
57,4109,0.003902688286426357
58,4029,0.0038267050635219743
59,4141,0.00393308157558811
60,4133,0.0039254832532976715
61,4089,0.0038836924807002615
62,4105,0.003898889125281138
63,4172,0.003962525074463558
64,4035,0.003832403805239803
65,4189,0.0039786715093307395
66,4089,0.0038836924807002615
67,3970,0.0037706674366299923
68,4162,0.00395302717160051
69,4117,0.0039102866087167955
70,4250,0.004036608716795332
71,4163,0.0039539769618868155
72,4200,0.003989119202480093
73,4103,0.0038969895447085283
74,4012,0.003810558628654793
75,4107,0.0039007887058537475
76,4308,0.004091696553401009
77,4135,0.003927382833870281
78,4048,0.003844751078961765
79,4112,0.0039055376572852715
80,4061,0.0038570983526837275
81,4133,0.0039254832532976715
82,4164,0.00395492675217312
83,4136,0.003928332624156586
84,4060,0.0038561485623974227
85,4209,0.0039976673150568355
86,4174,0.003964424655036168
87,4200,0.003989119202480093
88,4048,0.003844751078961765
89,4119,0.003912186189289405
90,4016,0.0038143577898000123
91,4044,0.0038409519178165463
92,4089,0.0038836924807002615
93,4053,0.003849500030393289
94,4105,0.003898889125281138
95,4065,0.0038608975138289467
96,4189,0.0039786715093307395
97,4076,0.003871345206978299
98,4123,0.003915985350434624
99,4093,0.0038874916418454807
100,4107,0.0039007887058537475
101,4106,0.0038998389155674427
102,4128,0.003920734301866148
103,4059,0.003855198772111118
104,4091,0.003885592061272871
105,4080,0.0038751443681235183
106,4020,0.0038181569509452315
107,4174,0.003964424655036168
108,4151,0.003942579478451158
109,4066,0.0038618473041152515
110,4126,0.003918834721293538
111,4184,0.003973922557899216
112,4111,0.0039045878669989667
113,4100,0.003894140173849614
114,4146,0.003937830527019634
115,4182,0.003972022977326606
116,4124,0.003916935140720929
117,4055,0.0038513996109658987
118,4166,0.0039568263327457295
119,4250,0.004036608716795332
120,4106,0.0038998389155674427
121,4034,0.0038314540149534983
122,4135,0.003927382833870281
123,4077,0.003872294997264604
124,4230,0.004017612911069236
125,4125,0.003917884931007234
126,4087,0.003881792900127652
127,4227,0.004014763540210322
128,4050,0.0038466506595343747
129,4107,0.0039007887058537475
130,4204,0.003992918363625311
131,4003,0.00380201051607805
132,3991,0.0037906130326423927
133,4056,0.0038523494012522035
134,4038,0.0038352531760987175
135,3995,0.003794412193787612
136,4063,0.003858997933256337
137,4184,0.003973922557899216
138,4068,0.003863746884687861
139,4015,0.0038134079995137075
140,4176,0.0039663242356087775
141,4230,0.004017612911069236
142,4044,0.0038409519178165463
143,4135,0.003927382833870281
144,4092,0.003886541851559176
145,4154,0.003945428849310073
146,4155,0.003946378639596377
147,4034,0.0038314540149534983
148,4050,0.0038466506595343747
149,4135,0.003927382833870281
150,4005,0.0038039100966506595
151,4145,0.003936880736733329
152,4078,0.0038732447875509087
153,3996,0.0037953619840739167
154,4109,0.003902688286426357
155,4234,0.004021412072214455
156,4152,0.003943529268737463
157,4111,0.0039045878669989667
158,4120,0.0039131359795757095
159,4155,0.003946378639596377
160,4211,0.003999566895629445
161,4167,0.003957776123032035
162,4081,0.003876094158409823
163,4074,0.0038694456264056895
164,4070,0.0038656464652604707
165,4163,0.0039539769618868155
166,4095,0.00388939122241809
167,4088,0.0038827426904139567
168,4182,0.003972022977326606
169,4109,0.003902688286426357
170,4061,0.0038570983526837275
171,4121,0.003914085769862015
172,4170,0.003960625493890949
173,4131,0.003923583672725062
174,4145,0.003936880736733329
175,4182,0.003972022977326606
176,4052,0.0038485502401069843
177,4135,0.003927382833870281
178,4158,0.003949228010455291
179,4178,0.003968223816181387
180,4199,0.0039881694121937875
181,4117,0.0039102866087167955
182,4157,0.003948278220168987
183,4098,0.0038922405932770043
184,4008,0.003806759467509574
185,4104,0.003897939334994833
186,4157,0.003948278220168987
187,4239,0.004026161023645979
188,4000,0.0037991611452191354
189,4145,0.003936880736733329
190,4061,0.0038570983526837275
191,4186,0.0039758221384718255
192,4068,0.003863746884687861
193,4059,0.003855198772111118
194,4183,0.003972972767612911
195,4135,0.003927382833870281
196,4081,0.003876094158409823
197,4020,0.0038181569509452315
198,4240,0.004027110813932284
199,4003,0.00380201051607805
200,4032,0.0038295544343808887
201,4103,0.0038969895447085283
202,4200,0.003989119202480093
203,4189,0.0039786715093307395
204,4172,0.003962525074463558
205,4011,0.0038096088383684883
206,4051,0.0038476004498206795
207,4197,0.003986269831621178
208,4106,0.0038998389155674427
209,4086,0.003880843109841347
210,4016,0.0038143577898000123
211,4183,0.003972972767612911
212,3997,0.0037963117743602215
213,4097,0.0038912908029906995
214,4114,0.003907437237857881
215,3967,0.003767818065771078
216,4065,0.0038608975138289467
217,4067,0.0038627970944015563
218,4270,0.004055604522521427
219,4105,0.003898889125281138
220,4093,0.0038874916418454807
221,4103,0.0038969895447085283
222,4188,0.003977721719044435
223,4147,0.003938780317305939
224,4094,0.0038884414321317855
225,4149,0.003940679897878548
226,4085,0.0038798933195550423
227,4070,0.0038656464652604707
228,4117,0.0039102866087167955
229,4208,0.00399671752477053
230,4062,0.0038580481429700323
231,4160,0.003951127591027901
232,4108,0.0039017384961400523
233,4000,0.0037991611452191354
234,4052,0.0038485502401069843
235,4139,0.0039311819950155
236,4104,0.003897939334994833
237,4088,0.0038827426904139567
238,4169,0.003959675703604644
239,4120,0.0039131359795757095
240,4126,0.003918834721293538
241,4271,0.004056554312807732
242,4161,0.003952077381314206
243,4057,0.0038532991915385083
244,4147,0.003938780317305939
245,4067,0.0038627970944015563
246,4068,0.003863746884687861
247,4097,0.0038912908029906995
248,4121,0.003914085769862015
249,4102,0.0038960397544222235
250,4045,0.003841901708102851
251,4129,0.003921684092152453
252,4149,0.003940679897878548
253,4090,0.0038846422709865663
254,4009,0.0038077092577958787
255,4152,0.003943529268737463
