lag,autocorrelation
1,-0.00035884492737445775
2,0.0009989497836284157
3,0.000787548884305721
4,-0.0005957528280005674
5,-0.0015316291617974457
6,0.0003521383268654091
7,-0.0006521937183520196
8,-0.0010690096172927997
9,-0.0011270140063343724
10,-0.00014864281476286516
11,0.00041136685773994047
12,-7.347734165680802e-05
13,0.00017652814484221232
14,6.058421607540232e-05
15,0.001853067257442299
16,-0.0005291820820017615
17,0.000310244477893512
18,0.00021955175709239646
19,-0.0002797903422537264
20,-0.0001832416574275997
21,-0.0003905926307062521
22,-0.0012168178058303495
23,-0.00034917131109457914
24,-0.0006991201335868499
25,-0.0009774475150381898
26,0.0012433052294534566
27,-9.342686197297463e-05
28,0.00129006080056174
29,0.00010863144702560114
30,-0.0015736609833820702
31,0.0015866393383814964
32,-0.0007635654817088285
