byte_value,count,probability
0,1,0.001953125
1,1,0.001953125
2,2,0.00390625
3,0,0.0
4,3,0.005859375
5,3,0.005859375
6,0,0.0
7,0,0.0
8,2,0.00390625
9,5,0.009765625
10,4,0.0078125
11,4,0.0078125
12,1,0.001953125
13,2,0.00390625
14,1,0.001953125
15,1,0.001953125
16,0,0.0
17,1,0.001953125
18,2,0.00390625
19,1,0.001953125
20,1,0.001953125
21,4,0.0078125
22,4,0.0078125
23,1,0.001953125
24,2,0.00390625
25,2,0.00390625
26,4,0.0078125
27,4,0.0078125
28,2,0.00390625
29,0,0.0
30,3,0.005859375
31,1,0.001953125
32,2,0.00390625
33,3,0.005859375
34,3,0.005859375
35,0,0.0
36,2,0.00390625
37,1,0.001953125
38,2,0.00390625
39,1,0.001953125
40,3,0.005859375
41,4,0.0078125
42,2,0.00390625
43,2,0.00390625
44,3,0.005859375
45,3,0.005859375
46,2,0.00390625
47,2,0.00390625
48,0,0.0
49,4,0.0078125
50,2,0.00390625
51,2,0.00390625
52,1,0.001953125
53,1,0.001953125
54,2,0.00390625
55,2,0.00390625
56,2,0.00390625
57,2,0.00390625
58,1,0.001953125
59,1,0.001953125
60,1,0.001953125
61,1,0.001953125
62,1,0.001953125
63,1,0.001953125
64,0,0.0
65,3,0.005859375
66,2,0.00390625
67,2,0.00390625
68,2,0.00390625
69,0,0.0
70,1,0.001953125
71,2,0.00390625
72,2,0.00390625
73,4,0.0078125
74,2,0.00390625
75,3,0.005859375
76,0,0.0
77,2,0.00390625
78,3,0.005859375
79,1,0.001953125
80,5,0.009765625
81,1,0.001953125
82,2,0.00390625
83,1,0.001953125
84,4,0.0078125
85,5,0.009765625
86,1,0.001953125
87,4,0.0078125
88,1,0.001953125
89,0,0.0
90,9,0.017578125
91,1,0.001953125
92,1,0.001953125
93,2,0.00390625
94,1,0.001953125
95,4,0.0078125
96,2,0.00390625
97,4,0.0078125
98,1,0.001953125
99,2,0.00390625
100,0,0.0
101,2,0.00390625
102,1,0.001953125
103,1,0.001953125
104,1,0.001953125
105,1,0.001953125
106,2,0.00390625
107,1,0.001953125
108,1,0.001953125
109,1,0.001953125
110,1,0.001953125
111,3,0.005859375
112,0,0.0
113,1,0.001953125
114,2,0.00390625
115,1,0.001953125
116,2,0.00390625
117,1,0.001953125
118,3,0.005859375
119,1,0.001953125
120,3,0.005859375
121,2,0.00390625
122,3,0.005859375
123,0,0.0
124,2,0.00390625
125,3,0.005859375
126,1,0.001953125
127,6,0.01171875
128,0,0.0
129,1,0.001953125
130,4,0.0078125
131,1,0.001953125
132,1,0.001953125
133,5,0.009765625
134,1,0.001953125
135,3,0.005859375
136,4,0.0078125
137,2,0.00390625
138,5,0.009765625
139,1,0.001953125
140,3,0.005859375
141,1,0.001953125
142,3,0.005859375
143,0,0.0
144,3,0.005859375
145,1,0.001953125
146,2,0.00390625
147,3,0.005859375
148,1,0.001953125
149,1,0.001953125
150,2,0.00390625
151,1,0.001953125
152,0,0.0
153,1,0.001953125
154,1,0.001953125
155,1,0.001953125
156,2,0.00390625
157,1,0.001953125
158,2,0.00390625
159,1,0.001953125
160,3,0.005859375
161,4,0.0078125
162,2,0.00390625
163,1,0.001953125
164,0,0.0
165,4,0.0078125
166,0,0.0
167,1,0.001953125
168,1,0.001953125
169,1,0.001953125
170,4,0.0078125
171,6,0.01171875
172,2,0.00390625
173,0,0.0
174,1,0.001953125
175,0,0.0
176,6,0.01171875
177,1,0.001953125
178,1,0.001953125
179,3,0.005859375
180,4,0.0078125
181,2,0.00390625
182,1,0.001953125
183,5,0.009765625
184,0,0.0
185,1,0.001953125
186,0,0.0
187,2,0.00390625
188,4,0.0078125
189,2,0.00390625
190,2,0.00390625
191,1,0.001953125
192,5,0.009765625
193,2,0.00390625
194,3,0.005859375
195,3,0.005859375
196,2,0.00390625
197,0,0.0
198,0,0.0
199,1,0.001953125
200,2,0.00390625
201,3,0.005859375
202,2,0.00390625
203,7,0.013671875
204,3,0.005859375
205,2,0.00390625
206,2,0.00390625
207,1,0.001953125
208,3,0.005859375
209,2,0.00390625
210,3,0.005859375
211,0,0.0
212,3,0.005859375
213,3,0.005859375
214,2,0.00390625
215,1,0.001953125
216,1,0.001953125
217,2,0.00390625
218,5,0.009765625
219,1,0.001953125
220,1,0.001953125
221,2,0.00390625
222,3,0.005859375
223,3,0.005859375
224,3,0.005859375
225,1,0.001953125
226,2,0.00390625
227,0,0.0
228,2,0.00390625
229,1,0.001953125
230,5,0.009765625
231,3,0.005859375
232,4,0.0078125
233,3,0.005859375
234,3,0.005859375
235,1,0.001953125
236,2,0.00390625
237,7,0.013671875
238,2,0.00390625
239,0,0.0
240,1,0.001953125
241,1,0.001953125
242,2,0.00390625
243,2,0.00390625
244,3,0.005859375
245,1,0.001953125
246,2,0.00390625
247,1,0.001953125
248,1,0.001953125
249,4,0.0078125
250,2,0.00390625
251,2,0.00390625
252,2,0.00390625
253,2,0.00390625
254,3,0.005859375
255,1,0.001953125
