byte_value,count,probability
0,4226,0.004013935746633841
1,4189,0.00397879243791982
2,4078,0.0038733625117777573
3,4066,0.0038619646819245614
4,4188,0.003977842618765387
5,4084,0.0038790614267043555
6,4058,0.0038543661286890977
7,4156,0.003947448405823531
8,4207,0.003995889182699614
9,4088,0.0038828607033220873
10,4153,0.003944598948360232
11,4134,0.003926552384426006
12,4023,0.0038211224582839426
13,4210,0.003998738640162913
14,4107,0.003900907267256314
15,4113,0.003906606182182912
16,4121,0.0039142047354183765
17,4201,0.003990190267773016
18,4188,0.003977842618765387
19,4144,0.003936050575970336
20,4176,0.003966444788912191
21,4134,0.003926552384426006
22,4187,0.003976892799610954
23,4148,0.0039398498525880675
24,4045,0.0038420184796814686
25,4111,0.0039047065438740465
26,3902,0.00370619434059755
27,4075,0.0038705130543144587
28,4059,0.0038553159478435304
29,4021,0.0038192228199750767
30,4107,0.003900907267256314
31,4073,0.0038686134160055927
32,4028,0.0038258715540561076
33,4162,0.003953147320750129
34,4140,0.003932251299352603
35,4117,0.003910405458800645
36,4093,0.0038876097990942523
37,3953,0.003754635117473633
38,4034,0.003831570468982706
39,4096,0.0038904592565575514
40,4228,0.004015835384942707
41,4031,0.0038287210115194067
42,4040,0.0038372693839093036
43,4127,0.003919903650344975
44,3972,0.0037726816814078598
45,4187,0.003976892799610954
46,4065,0.0038610148627701286
47,4071,0.0038667137776967264
48,3941,0.003743237287620437
49,4026,0.0038239719157472417
50,4096,0.0038904592565575514
51,4108,0.0039018570864107474
52,4070,0.0038657639585422936
53,4155,0.003946498586669098
54,4169,0.00395979605483116
55,4044,0.003841068660527036
56,4078,0.0038733625117777573
57,4063,0.0038591152244612627
58,4064,0.0038600650436156955
59,4108,0.0039018570864107474
60,4180,0.003970244065529923
61,4074,0.0038695632351600255
62,4105,0.0038990076289474483
63,4169,0.00395979605483116
64,4020,0.0038182730008206435
65,4064,0.0038600650436156955
66,4077,0.0038724126926233246
67,4140,0.003932251299352603
68,4092,0.0038866599799398196
69,4098,0.0038923588948664174
