lag,autocorrelation
1,5.73725017904029e-05
2,0.00011775613604915968
3,8.60503749541981e-05
4,-0.00038784123395155186
5,-8.359039747005606e-05
6,-0.001092254816563081
7,-0.0005376893447953907
8,-0.001818665508873913
9,0.00045078164817363204
10,0.0008981897812485555
11,-0.0009392327712562572
12,0.0006081245836959148
13,0.0002902428719981787
14,0.0003570426636177783
15,0.0016926263909058702
16,0.00018269413574606162
17,0.0009216375704912392
18,-0.000376642976219321
19,-0.00020895969594471154
20,-0.0005447238743440817
21,-0.0005575312305817117
22,-0.0006804178903347596
23,-0.0013416704046329748
24,-8.347054640977401e-05
25,0.0008180139740796619
26,-0.0012625843112587653
27,0.0003271133536777199
28,-0.0006225678662606505
29,0.00014178316590141317
30,-5.9117366790899956e-05
31,0.00033521498245441043
32,-0.0003551990640162439
